# Source: Chimney.Services — cite as https://www.chimney.services/licensing
state,category_slug,credential_required,credential_name,issuing_body,statute,dollar_threshold,exam,local_overlay,source_urls,confidence,checked_date
Minnesota,stove-install,registration,"BOND-GATED, mirroring the gas side — Minn. Stat. § 326B.197(a) verbatim: 'A person contracting to do gas, heating, ventilation, cooling, air conditioning, fuel burning, or refrigeration work must give and maintain bond to the state in the amount of $25,000' filed with DLI ($100/2 yrs, NO exam; bond runs to State Mechanical Code compliance) — a wood/pellet stove install is heating/fuel-burning work and § 326B.802 subd. 8 sweeps in 'other miscellaneous heat-producing appliance' (textual inference; no express DLI wood-stove statement found); 'fireplaces and wood stoves' is itself a named special skill (§ 326B.802 subd. 15(h)(3)) but a stove-only shop is single-skill exempt from the BC/CR license (§ 326B.805 subd. 6(8)) and mechanical contractors separately exempt (subd. 6(6)) — total state footprint = bond + city comp cards (Minneapolis/St. Paul, not DLI); code: 2020 MN Residential Code (Minn. R. 1309.0010: 2018 IRC incorporated) eff. 3/31/2020, still in force (2024-IRC cycle in rulemaking as of 11/2025); IRC mechanical chapters DELETED and replaced by MN Mechanical Code ch. 1346 (2012 IMC base) which governs solid-fuel installs; permits only in code-administering municipalities + 7-county metro; PINS the Pass 1 UNVERIFIED bond statute: § 326B.197","MN Dept. of Labor & Industry (bond filing; no license); cities (comp cards + mechanical permits)","Minn. Stat. § 326B.197(a) (fetched — resolves Pass 1 UNVERIFIED); § 326B.802 subds. 8, 15(h)(3); § 326B.805 subd. 6(6)+(8); Minn. R. 1309.0010; Minn. R. ch. 1346","none for the bond ($15,000 gross-receipts exemption applies only to the BC/CR/RR licensing scheme)","n state (city comp-card exams locally)","y — Minneapolis/St. Paul mechanical permits + individual competency cards","https://www.revisor.mn.gov/statutes/cite/326B.197; https://www.dli.mn.gov/business/plumbing-contractors/mechanical-contractor-bond-requirements; https://www.revisor.mn.gov/rules/1309.0010/; https://www.revisor.mn.gov/statutes/cite/326B.802","high (bond statute + code); medium-high (fuel-burning capture of wood stoves)",2026-07-10
Rhode Island,chimney-flashing,"license (commercial only); registration (residential)","Commercial Roofing license is COMMERCIAL-ONLY by definition — § 5-73-1(3): 'roofing' = work on the roof of any NONRESIDENTIAL structure 'and shall specifically include sealing, water proofing, weatherproofing, related sheet-metal work'; § 5-73-1(2): nonresidential 'shall not include any residential structures consisting of four (4) dwelling units or less' — so chimney flashing/leak repair on a HOUSE needs only CRLB contractor registration (no exam; pre-registration education course; $500 casual-work exemption § 5-65-2(a)(4)) while the same flashing job on a commercial building needs the exam-licensed commercial roofer (PSI exam, $2,000,000/occurrence insurance, OSHA-10 for field personnel, 12 hr CE; shingles-only applicators carved out § 5-73-3(b)); no residential roofing license exists (CRLB license list: commercial roofing, home inspector, underground utility, well/pump only)","RI Contractors' Registration and Licensing Board (CRLB)","R.I. Gen. Laws §§ 5-73-1, 5-73-3 (fetched); ch. 5-65 (registration); 440-RICR-10-00-4","$500 (casual-work registration exemption); none on the commercial license","y (commercial license); n (residential registration)",n,"https://webserver.rilegislature.gov/Statutes/TITLE5/5-73/5-73-1.htm; https://webserver.rilegislature.gov/Statutes/TITLE5/5-65/5-65-2.htm; https://crb.ri.gov/licenses/commercial-roofing-license; https://crb.ri.gov/continuing-education",high,2026-07-10
West Virginia,chimney-flashing,license,"WVCLB Specialty classification 'Roofing (010)' — an UNTESTED specialty (Business & Law exam only, no roofing trade exam) — required when a flashing/leak-repair undertaking costs >=$5,000 residential / $25,000 commercial (§ 30-42-3(d): below the threshold the work is not 'contracting' at all and needs NO license); most standalone chimney-flashing repairs price under $5,000, so WV flashing work is unlicensed in practice; counterflashing cut into brick could alternatively sit under Masonry (004); exact 28 CSR 2 scope sentence UNVERIFIED (classification list per WVCLB Candidate Information Bulletin, exam-vendor semi-primary)","WV Contractor Licensing Board (Division of Labor)","W. Va. Code § 30-42-3(d); 28 CSR 2 (classification rule — not fetched)","$5,000 residential / $25,000 commercial","y (Business & Law only; no roofing trade exam)","y — permits only in State-Building-Code opt-in jurisdictions","https://code.wvlegislature.gov/30-42-3/; https://wvclboard.wv.gov/; https://provexam.com/wp-content/uploads/2026/03/WVCONT_CIB-2026.03.04.pdf","high (threshold + classification exists); medium (scope language)",2026-07-10
Minnesota,chimney-flashing,license,"Residential Roofer (RR) license — § 326B.805 subd. 1 verbatim: a person meeting the residential-roofer definition 'must be licensed by the commissioner as a residential roofer, residential building contractor, or residential remodeler'; definition § 326B.802 subd. 14 verbatim: 'a person in the business of contracting... to complete work on residential real estate in roof coverings, roof sheathing, roof weatherproofing and insulation, and repair of roof systems, but not construction of new roof systems' — chimney flashing = roof weatherproofing and leak repair = repair of roof systems, so a chimney company contracting flashing/leak repair IS a residential roofer; THE SINGLE-SKILL EXEMPTION DOES NOT SAVE ROOFERS — subd. 6(8) literally exempts one-skill specialty contractors but the specific subd. 1 roofer mandate (2007 anti-storm-chaser) controls and DLI administers it that way (dedicated QR exam, $15,000 surety bond, $300k liability insurance, background checks); EXEMPTION: gross annual receipts <=$15,000 for licensable skills — affidavit-based certificate of exemption required, surrender on exceeding (subd. 6(5)); INTERPLAY: masonry (skill (b)(5)) + roofing (skill (g)), or stoves (h)(3) + roofing = 2+ skills = full BC/CR exam license","MN Dept. of Labor & Industry","Minn. Stat. § 326B.805 subds. 1, 6(5), 6(8) (fetched); § 326B.802 subds. 14, 15 (fetched)","$15,000 gross annual receipts exemption (certificate of exemption required)","y (QR roofer exam; or BC/CR exam at 2+ skills)","y — cities may license certificate-of-exemption holders and specialty contractors; Minneapolis/St. Paul permits","https://www.revisor.mn.gov/statutes/cite/326B.805; https://www.revisor.mn.gov/statutes/cite/326B.802; https://www.dli.mn.gov/business/residential-contractors/roofer-license",high,2026-07-10
Texas,gas-fireplace-service,license,"Plumbing license (Journeyman/Master under a Responsible Master Plumber) — Texas 'plumbing' expressly includes gas piping and the installation/repair/service of gas appliances (Occ. Code § 1301.002(7)(A),(B),(D)); LP vs NG SPLIT: LP-gas work is EXEMPT from the plumbing law when performed by an RRC-licensed LP installer (§ 1301.055) — Railroad Commission Alternative Fuels program licenses LP companies by category, Category D 'General Installers and Repairmen' (service/install/repair LP piping and certain appliances) with exam-based employee certification; NO state credential of any kind for chimney/solid-fuel work (no GC license exists) — MISMATCH: same gas-log job takes a TSBPE plumber (NG) or RRC Cat. D (LP) while the chimney above it needs nothing","Texas State Board of Plumbing Examiners (NG); Railroad Commission of Texas — Alternative Fuels Safety (LP)","Tex. Occ. Code §§ 1301.002(7), 1301.351–.352 (license + exam), 1301.055 (LP exemption), 1301.051 (homestead owner exemption); Tex. Nat. Res. Code ch. 113 subch. D; 16 TAC ch. 9","none (activity-based, no dollar floor)","y (plumbing exams § 1301.352; RRC certification exams for LP company representatives)","y — municipal plumbing ordinances/permits (§ 1301.551); political subdivisions must verify the RMP certificate of insurance via the TSBPE website before permitting (§ 1301.552)","https://texas.public.law/statutes/tex._occ._code_section_1301.002; https://texas.public.law/statutes/tex._occ._code_section_1301.055; https://www.rrc.texas.gov/alternative-fuels/liquefied-petroleum-gas-propane/certification-and-company-licensing/licenses/categories/; https://statutes.capitol.texas.gov/Docs/OC/htm/OC.1301.htm",high,2026-07-10
Florida,gas-fireplace-service,license,"CILB Plumbing Contractor (scope expressly includes 'natural gas, liquefied petroleum gas and related venting', § 489.105(3)(m)) or Mechanical Contractor ('LP gas lines within buildings, and natural gas fuel lines within buildings', § 489.105(3)(i)); Class A/B Air-Conditioning contractors are EXCLUDED from fuel gas lines EXCEPT disconnect/reconnect appliance changeouts (§ 489.105(3)(f)-(g)) — misclassification trap; LP vs NG SPLIT: FDACS Bureau of LP Gas (ch. 527) — Category I LP Gas Dealer / Category V LP Gas Installer, whose statutory scope reaches BOTH LP and natural-gas appliance/piping work, with an exam-passed 'qualifier' per business; § 489.105(3)(m) shields ch. 527 licensees from needing a CILB plumbing license; no state chimney-sweep license, chimney masonry = local registered specialty — MISMATCH YES","FL DBPR Construction Industry Licensing Board (NG trades); FL Dept. of Agriculture and Consumer Services, Bureau of LP Gas Inspection (LP)","Fla. Stat. § 489.105(3)(f),(g),(i),(m); Fla. Stat. §§ 527.01(5),(6),(10) (dealer/installer/qualifier definitions); § 489.103 (owner-builder exemption — details UNVERIFIED)",none,"y (CILB certified = state exam; ch. 527 qualifier = department competency exam)","y — 'Registered' (R-number) contractors are county-limited via local competency cards; local chimney/masonry specialty regimes county-by-county","http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0400-0499/0489/Sections/0489.105.html; http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0500-0599/0527/Sections/0527.01.html",high,2026-07-10
North Carolina,gas-fireplace-service,license,"State P-H Board licenses — fuel piping to ANY appliance requires Plumbing (P), Heating Group 1/2/3, or dedicated Fuel Piping (FP) contractor license 'regardless the nature of the system, equipment or appliance served' and regardless of fuel (21 NCAC 50 .0511 — LP and NG unified); gas appliance install/replacement (gas furnaces, water heaters etc.) = Article 2 scope (G.S. 87-21(c)), H-3 is the residential workhorse; minor-repair exemption only if no change in energy source, fuel type, or venting/piping routing/sizing (a cleaning-only fireplace service visit fits; touching venting or piping does not); NCDA&CS LP-gas law (G.S. 119 art. 5) is DEALER REGISTRATION only — Agriculture's own page says the fuel-piping license 'is not a license administered by NCDA&CS'; NO dollar threshold (the historic $15,000 figure does NOT appear in current Article 2 — debunked); MISMATCH: sharpest in the batch — $0-threshold gas license next to a $40,000 GC threshold for chimney work","NC State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors; NCDA&CS Standards Division (LP dealer registration only)","N.C. Gen. Stat. § 87-21 (scope + exemptions), § 87-25 (Class 2 misdemeanor); 21 NCAC 50 .0511 (fuel piping); G.S. 119-54, 119-56 (LP dealers)","none (gas); $40,000 (GC layer for chimney work, G.S. 87-1(a))","y (board exams; FP privileges included in P/H-1/H-2/H-3 without separate exam)","n — state licensing exclusive; cities/counties issue permits to state licensees (Charlotte/Raleigh permit-desk practice UNVERIFIED)","https://www.ncleg.gov/EnactedLegislation/Statutes/PDF/ByArticle/Chapter_87/Article_2.pdf; https://www.law.cornell.edu/regulations/north-carolina/21-N-C-Admin-Code-50-0511; https://www.ncagr.gov/divisions/standards/lp-gas/standards-fuel-piping-license; https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/ByArticle/Chapter_119/Article_5.html",high,2026-07-10
South Carolina,gas-fireplace-service,license,"Three-way split: RESIDENTIAL NG = RBC Residential Specialty LICENSE (exam) as HVAC installer/repairer ('gas piping from service... including gas fired furnaces and space heaters' — but liquid-fuel scope EXCEPTS liquid propane) or Plumber ('natural gas piping systems') per Reg. 106-1; LP ANYWHERE = LP Gas Board license (S.C. Code 40-82-30: unlawful without license to install/service/repair/adjust/connect appliances to LP systems; Dealer + 'Installer of appliances and equipment' classes; exam-passed qualifier per location) — the residential HVAC scope expressly carves LP out to the LP Board; COMMERCIAL >$10,000 = CLB Mechanical license (Heating/Packaged Equipment/Plumbing subclassifications carry gas-line privileges, 40-11-410(5); threshold raised from $5,000 by 2023 Act 69); MISMATCH: masonry = no-exam registration >$500 while the log set inside is gated by three separate exam regimes","SC LLR — Residential Builders Commission (residential NG specialties); Contractor's Licensing Board (commercial); LP Gas Board (LLR, admin support from Office of State Fire Marshal)","S.C. Code Title 40 ch. 82 (§§ 40-82-10, -20, -30, -220); Title 40 ch. 59 (§ 40-59-20(7) exam-vs-registration split); Reg. 106-1; Title 40 ch. 11 (§§ 40-11-30, 40-11-410(5))","$500 residential specialty / $5,000 residential builder / $10,000 commercial CLB; LP Gas Board license has NO dollar floor","y (RBC HVAC/plumber specialty exams via PSI; CLB qualifying-party exams; LP Gas Board qualifier exam)","y — 40-59-240(C): counties/municipalities may require their own exam/license unless the contractor passed a commission-approved exam; MASC municipal Masters License recognized as exam substitute","https://www.scstatehouse.gov/code/t40c082.php; https://www.scstatehouse.gov/code/t40c059.php; https://www.scstatehouse.gov/code/t40c011.php; https://www.scstatehouse.gov/coderegs/Chapter%20106.pdf; https://llr.sc.gov/lp/licensure.aspx",high,2026-07-10
Georgia,gas-fireplace-service,license,"NG = Conditioned Air Contractor Class I/II ('conditioned air equipment' includes 'the natural gas piping system on the outlet side of the gas meter', O.C.G.A. 43-14-2(5); license required 43-14-8(c), exam) OR Master/Journeyman Plumber ('plumbing' includes 'natural gas piping systems on the outlet side of gas meters', 43-14-2(12)); whether a purely DECORATIVE gas fireplace/log set is 'heating equipment covered under state codes' is a statutory gray zone — FLAG; LP vs NG SPLIT is agency-level: LP companies licensed by the Safety Fire Commissioner (rule 120-3-16-.03; O.C.G.A. Title 10 ch. 1 art. 10) and the § 43-14-13(o) bridge lets a properly insured LP dealer install/repair/service propane systems and piping WITHOUT any ch. 14 license (but not conditioned-air/forced-air systems); no individual LP installer license found; homeowner exemption 43-14-13(d); statewide license preempts municipal licensing (43-14-13(b)); MISMATCH: chimney masonry/sweeping is specialty-exempt from the GC license (43-41-17) — gas licensed from $0, chimney nothing","GA State Construction Industry Licensing Board — Divisions of Conditioned Air Contractors and Master/Journeyman Plumbers (Secretary of State); GA Safety Fire Commissioner, Safety Fire Division (LP)","O.C.G.A. §§ 43-14-2(5),(12), 43-14-8, 43-14-13(b),(d),(o); Ga. Comp. R. & Regs. 120-3-16-.03; O.C.G.A. §§ 10-1-263, 10-1-269 (LP authority; article popular name UNVERIFIED); § 43-41-17 (chimney specialty exemption)","none for ch. 14 trades (no de minimis); $2,500 GC exemption applies only to the ch. 41 layer","y (conditioned air + plumber exams; LP is company-level licensing without an individual exam found)","n at credential level (state preemption); local permits/inspections per 43-14-12; Atlanta = permits only","https://codes.findlaw.com/ga/title-43-professions-and-businesses/ga-code-sect-43-14-2/; https://codes.findlaw.com/ga/title-43-professions-and-businesses/ga-code-sect-43-14-13/; https://www.law.cornell.edu/regulations/georgia/Ga-Comp-R-Regs-R-120-3-16-.03; https://sos.ga.gov/page/traditional-specialty-contractors-policy-statements",high,2026-07-10
Tennessee,gas-fireplace-service,license,"Dollar-split regime: >=$25,000 = state Contractor license with CMC-A (Mechanical — Plumbing and Gas Piping: 'any plumbing or non-medical gas piping') or full CMC classification (exam + board pre-approval); BELOW $25,000 NG: no statewide gas/mechanical license, BUT the Limited Licensed Plumber (T.C.A. 62-6-401 et seq.) reaches gas — LLP 'plumbing' includes piping/fixtures/appliances for the supply of GAS in residential/commercial buildings, required under $25k where no municipal/county plumbing-licensing program governs (62-6-406); the real sub-$25k gatekeepers are LOCAL: Metro Nashville Gas and Appliance Installer certificates (Board of Mechanical/Plumbing/Electrical Examiners), Memphis/Shelby gas permits + Mechanical/Gas Code Board; LP vs NG SPLIT: LP is dollar-blind statewide — LP Safety Act 'dealer' includes anyone in the business of 'installation of liquefied petroleum gas equipment', licensed by the State Fire Marshal in Classes 1–5 (Class 1 = full LP business incl. installs; Class 3 may NOT sell or install any container or appliance); MISMATCH: chimney work <$25k is state-invisible while the gas-log connection is captured by LP licensing (propane), LLP, or city gas certificates","TN Board for Licensing Contractors (Dept. of Commerce & Insurance); State Fire Marshal (LP, T.C.A. 68-135); Metro Nashville / Memphis-Shelby code boards (local gas certificates)","Tenn. Code § 62-6-101 et seq. ($25k threshold); §§ 62-6-401 to -416 (Limited Licensed Plumber, gas in definition § 62-6-402); §§ 68-135-101, -103, -104 (LP dealer licensing, classes + fees)","$25,000 (contractor license); LLP under $25k; LP licensing has NO dollar floor","y (CMC/CMC-A trade exams; LLP exam; LP = experience/NPGA training, no state exam found — medium)","y — Nashville Gas and Appliance certificate + registration with Codes Administration; Memphis/Shelby gas permits; ~9-county Home Improvement license layer $3k–$25k","https://www.tn.gov/content/dam/tn/commerce/documents/regboards/contractors/posts/ClassificationOutlineWeb.pdf; https://law.justia.com/codes/tennessee/title-62/chapter-6/part-4/section-62-6-402/; https://law.justia.com/codes/tennessee/2021/title-68/chapter-135/part-1/section-68-135-104/; https://www.nashville.gov/departments/codes/boards/mechanical-plumbing-electrical-examiners-appeals-board",high,2026-07-10
Alabama,gas-fireplace-service,license,"Fuel type decides the regulator — total statutory LP/NG split: NG = Plumbers and Gas Fitters Examining Board Master/Journeyman GAS FITTER certification (exam, statewide, $0 floor) — 'gas fitting' is defined NATURAL-GAS-ONLY: pipes/fittings/APPLIANCES for supplying natural gas from point of delivery incl. piping before the combustion zone and venting of flue gases (§ 34-37-1(4)); scope nuance: piping from shutoff valve to appliance is NOT gas pipe fitting except gas water heaters (720-X rules — appliance-hookup gray zone, medium); NO homeowner exemption for gas (the § 34-37-15 owner exemption says PLUMBING only — asymmetry finding); HACR carve-out covers gas-fired AIR heating/cooling appliances excluding piping — does not rescue hearth work; LP = Alabama LP-Gas Board permits (§ 9-17-105): Permit A full retail / B-1 branch / PERMIT C = installing/servicing/repairing LP piping and appliances downstream of tank outlet valves only — the propane gas-log installer class; board competency exams for employees since 2017; local testing of LP servicemen PREEMPTED (§ 9-17-105(g)); MISMATCH: chimney work <=$10,000 needs no state license (HBLB) while a $400 gas-log hookup is licensed from dollar one on either fuel","AL Plumbers and Gas Fitters Examining Board (NG); Alabama LP-Gas Board (LP); HBLB (contracting layer >$10k)","Ala. Code § 34-37-1(1),(2),(4),(5),(7), § 34-37-6 (certification/exams), § 34-37-15 (exemptions); Ala. Code § 9-17-105 (LP permit classes, Title 9 ch. 17 art. 4)","none (both gas regimes $0); $10,000 (HBLB residential layer for the chimney side)","y (journeyman/master gas fitter exams; LP employee competency exams)","n for licensing (statewide certification + LP preemption); city permit/inspection regimes remain (Birmingham/Huntsville mechanics UNVERIFIED)","https://law.justia.com/codes/alabama/title-34/chapter-37/section-34-37-1/; https://law.justia.com/codes/alabama/title-34/chapter-37/section-34-37-15/; https://law.justia.com/codes/alabama/title-9/chapter-17/article-4/section-9-17-105/; https://hblb.alabama.gov/exemptions/",high,2026-07-10
Alabama,gas-log-install,license,"LP gas logs = LP-Gas Board Permit C (install/service/repair/adjust LP piping and appliances downstream of the tank outlet valve only — no container sales; separate permit per business location) or Permit A/B-1 dealer; NG gas logs = PGFB-certified gas fitter (appliances expressly in the § 34-37-1(4) definition); distinct cheaper LP lane tracked separately","Alabama LP-Gas Board (LP); AL Plumbers and Gas Fitters Examining Board (NG)","Ala. Code § 9-17-105(a) (Permit C); § 34-37-1(4)",none,"y (LP employee competency exams; gas fitter exams)",n,"https://law.justia.com/codes/alabama/title-9/chapter-17/article-4/section-9-17-105/",high,2026-07-10
Louisiana,gas-fireplace-service,license,"Fuel-split plus a stacking contractor layer: NG = Louisiana State Plumbing Board is the 'sole and exclusive' licensor of gas fitting for the general public — installation/repair/improvement/alteration/removal of natural gas piping, tanks, AND APPLIANCES annexed to real property (R.S. 37:1361); Master/Journeyman Natural Gas Fitter (exams: 2021 IFGC written + practical; master via NG fitter license, LSLBC Mechanical statewide license, or PE) + mandatory Apprentice registration for ALL unlicensed persons doing gas work; preempts municipal gas-fitter licensing; homeowner own-residence exemption (section cite medium); LP = LPG Commission permits (R.S. 40:1846; LAC 55:IX): Class I any phase / Class II install+service LP containers, piping and appliances / Class R-1 LP PIPING only (must hold LA master plumber license) / Class R-2 LP APPLIANCES and equipment (must be in the mechanical contracting business) + card of competency ($20 exam) for all install/service personnel + CETP training; STACK: gas jobs >$10,000 also need the LSLBC Mechanical (Statewide) license; MISMATCH: chimney/masonry <$7,500 needs nothing (LSLBC HI registration floor) while gas has a $0 floor on both fuels","Louisiana State Plumbing Board (NG); Louisiana Liquefied Petroleum Gas Commission, Dept. of Public Safety (LP); LSLBC (mechanical >$10k)","La. R.S. 37:1361 (SPBLA exclusivity + preemption); La. R.S. 40:1846 + LAC 55:IX-103, -107, -177 (LP permits, competency cards, appliance installation); LSLBC thresholds per board Types-of-Licenses page (R.S. 37:2150.1 et seq.)","none (gas, both fuels); $10,000 (LSLBC mechanical stack); $7,500–$50,000 (HI registration band for the chimney side; residential license >$50,000 — the $75,000 figure is superseded)","y (NG fitter written + practical exams; LP competency-card exam; LSLBC NASCLA/business exams)","n for gas licensing (state preemption); New Orleans/Baton Rouge local mechanical/gas permit mechanics UNVERIFIED","https://www.spbla.com/licenses/; https://law.justia.com/codes/louisiana/revised-statutes/title-37/rs-37-1361/; https://www.law.cornell.edu/regulations/louisiana/La-Admin-Code-tit-55-SS-IX-107; https://lpg.dps.louisiana.gov/liquefied-petroleum-gas-permit-holders/; https://lslbc.gov/types-of-licenses/",high,2026-07-10
Louisiana,gas-log-install,license,"Propane gas-log install = LPG Commission Class I, Class II, or Class R-2 (appliances lane — R-2 requires being in the mechanical contracting business; R-1 is piping-only and expressly may NOT install appliances, and requires a master plumber license — a distinctive piping/appliance severance); NG gas logs = SPBLA natural gas fitter (appliances in the R.S. 37:1361 scope); installer personnel need LPG competency cards","Louisiana LPG Commission (LP); Louisiana State Plumbing Board (NG)","LAC 55:IX-103, -107 (permit classes, competency); La. R.S. 37:1361",none,y,n,"https://www.law.cornell.edu/regulations/louisiana/La-Admin-Code-tit-55-SS-IX-107; https://lpg.dps.louisiana.gov/liquefied-petroleum-gas-permit-holders/",high,2026-07-10
Mississippi,gas-fireplace-service,"license (LP; MSBOC as subcontractor) / none (NG direct-to-homeowner <$10k)","NG: NO statewide plumbing/HVAC/gas-fitter license exists — direct-to-homeowner NG gas-fireplace/gas-log/appliance work under the $10,000 remodeler threshold needs no state credential (local permits only, e.g., Jackson trade permits); BUT since 7/1/2022 any SUBCONTRACTOR of any tier performing electrical, plumbing, mechanical, or HVAC work on ANY residential construction or improvement project must hold an MSBOC license 'no matter the dollar amount' (§ 73-59-3(1)(d)) — the prime-vs-sub distinction decides licensure; LP: fully regulated at any dollar amount by the Liquefied Compressed Gas Division (MS Insurance Dept./State Fire Marshal) — CLASS 7 permit = sell/install/alter/change/repair LC-gas APPLIANCES only (piping + appliances downstream of tank outlet valve) = the gas-log class; certified qualified training required (Classes 3,7,8,9,10); LP installations must pass LC-Gas inspector approval before containers are filled (§ 75-57-47); MISMATCH: LP side licensed+insured from $0 while the NG side mirrors the chimney vacuum. FLAG: MS GC regime researched in this batch (no rights file yet) — MSBOC commercial >$50k, residential new >$50k, remodeling/roofing >$10k","MS State Board of Contractors (MSBOC — trade classifications); MS Insurance Dept. / State Fire Marshal, Liquefied Compressed Gas Division (LP)","Miss. Code § 73-59-3(1)(d) (2022 subcontractor rule); § 73-59-1 et seq., § 31-3-1 et seq. (MSBOC); Miss. Code Title 75 ch. 57 — §§ 75-57-47, 75-57-109 (LC-gas permits/insurance/training authority)","$10,000 residential remodeling / $50,000 new+commercial (MSBOC); $0 for residential E/P/M/HVAC SUBS since 2022; $0 for LP permits","y (MSBOC Law & Business + trade exams; LP = certified training, exam UNVERIFIED)","y — Jackson requires locally registered trade professionals for gas/mechanical/plumbing permits + contractor registration (secondary, medium)","https://www.msboc.us/general-info/frequently-asked-questions/; https://law.justia.com/codes/mississippi/title-73/chapter-59/section-73-59-3/; https://www.mid.ms.gov/sfmo/lcgas/; https://www.mid.ms.gov/sfm/pdf/lcpermitcl110_2019.pdf",high,2026-07-10
Mississippi,gas-log-install,license,"LP gas logs = LC-Gas Class 7 permit ('sell, install, alter, change or repair LC-Gas appliances only' — piping and appliances downstream of the tank outlet valve, no containers) at ANY dollar amount, with certified qualified training + $100k/$300k state-verified insurance; NG gas logs direct-to-homeowner under $10k = no state credential (absence is the finding)","MS Insurance Dept. / State Fire Marshal, Liquefied Compressed Gas Division","Miss. Code § 75-57-109 (permit authority); MID permit-class instructions (Classes 1–10)","none for LP; $10,000 MSBOC layer for NG","y (certified training requirement; formal exam UNVERIFIED)",n,"https://www.mid.ms.gov/sfm/pdf/lcpermitcl110_2019.pdf; https://www.mid.ms.gov/sfmo/lcgas/",high,2026-07-10
Arkansas,gas-fireplace-service,license,"Three overlapping gas regimes, all with NO dollar floor: (1) HVACR Board Class A/B license — 'HVACR gas fitting work' = up to 75 feet of final gas-piping connection to a HEATING UNIT from an existing accessible shutoff + flue-gas vents + combustion air (§ 17-33-101(8)), performable by any HVACR licensee without other license (§ 17-33-103); state license PREEMPTS city/county licensing (§ 17-33-104); (2) AR Dept. of Health Plumbing & Natural Gas Section — Restricted Plumber Gas Fitter track (Trainee → Gas Fitter → Supervisor Gas Fitter, exams): 'practical installation of gas piping, appliances, fixtures, devices and appurtenances' — the credential for NG gas-log/appliance work beyond the HVACR carve-out (whether a decorative log set is a 'heating unit' is a gray zone — Gas Fitter is the safe credential); (3) LP = Arkansas LP Gas Board (A.C.A. § 15-75-101 et seq.) CLASS 10 permit — 'installation of LP-Gas piping and appliances in buildings both domestic and commercial' (Master Plumbers exempt from Class 10); § 17-33-106 exempts LPGB permittees from HVACR licensure for LP appliance work; homeowner own-home exemption (§ 17-33-102); MISMATCH: chimney/fireplace work free below $2,000, ACLB home-improvement/residential license above it — but § 17-25-513(5) exempts work within the scope of another agency license, so a pure-gas job rides the gas credential. FLAG: AR GC regime researched in this batch (no rights file yet) — ACLB commercial >=$50,000, residential >$2,000 (anti-splitting rule § 17-25-513(3)(B)); NOTE: 'Chimneys, Fireplaces' is a named ACLB commercial specialty classification","AR HVACR Licensing Board (Dept. of Labor and Licensing); AR Dept. of Health, Plumbing & Natural Gas Section; Arkansas LP Gas Board; ACLB (contracting layer)","A.C.A. §§ 17-33-101(8), 17-33-102, 17-33-103, 17-33-104, 17-33-106; A.C.A. § 17-38 + ADH gas-fitter rules (Act 200 of 1951); A.C.A. § 15-75-101 et seq. + § 15-75-305 (LP fees); A.C.A. §§ 17-25-503, 17-25-513 (residential thresholds/exemptions)","none (all three gas regimes); $2,000 (ACLB residential layer for the chimney side); $50,000 commercial","y (HVACR exam § 17-33-302(a)(6); ADH gas fitter exams; LPGB written/oral examination of qualified personnel)","n for licensing (HVACR preemption § 17-33-104; ADH statewide); Little Rock permits/inspections still apply (detail UNVERIFIED)","https://labor.arkansas.gov/wp-content/uploads/HVAC-law-2025.pdf; https://healthy.arkansas.gov/wp-content/uploads/PlumbingRulesandRegsGasFitterUtility.pdf; https://arkansaslpgasboard.com/Permits/Permit-Class-10; https://law.justia.com/codes/arkansas/title-17/subtitle-2/chapter-25/subchapter-5/section-17-25-513/",high,2026-07-10
Arkansas,gas-log-install,license,"NG gas logs = ADH Gas Fitter (or Master Plumber) — 'gas piping, appliances, fixtures, devices and appurtenances' in the gas-fitter scope; LP gas logs = LPGB Class 10 permit ($100 annual, qualified personnel proven by current written or oral examination, $500k/$500k insurance) or Class 1/2 dealer; HVACR licensees only if the unit qualifies as a 'heating unit' within the 75-foot carve-out (gray zone)","AR Dept. of Health Plumbing & Natural Gas Section (NG); Arkansas LP Gas Board (LP)","ADH gas-fitter rules; A.C.A. § 15-75-305 + LPGB Class 10 permit conditions; A.C.A. § 17-33-101(8)",none,y,n,"https://arkansaslpgasboard.com/Permits/Permit-Class-10; https://healthy.arkansas.gov/wp-content/uploads/PlumbingRulesandRegsGasFitterUtility.pdf",high,2026-07-10
